,id_news,title,label,anotador
0,21868949.0,Provincial Osorno pierde el invicto tras caer 1-0 ante Rengo en emocionante partido,NEU,spacheco
1,21863164.0,Combustibles volverán a bajar este jueves y también la próxima semana,POS,spacheco
2,21862451.0,Osorno: Un 33% de avance registra construcción de nuevo gimnasio en Escuela Monseñor Francisco Valdés en Francke,POS,spacheco
3,21865072.0,Detienen a presunto autor de homicidio registrado afuera de local nocturno en Osorno,POS,spacheco
4,21860581.0,Una persona fallecida dejó choque en ruta 215 en las cercanías de Osorno,NEG,spacheco
5,21859282.0,Autoridades y representantes del rubro agrícola efectúan primera reunión del año contra el abigeato,POS,spacheco
6,21864849.0,Jürgensen desdramatizó últimas cifras de Cadem en torno a gestión de Sebastián Piñera,NEU,spacheco
7,21858814.0,Compensaciones: Essal solo contempla apegarse a la ley,NEG,spacheco
8,21862085.0,En Río Rahue encuentran sin vida a joven estudiante viñamarino extraviado en Osorno,POS,spacheco
9,21862192.0,Osorno: Construyeron petril al final de calle Pérez que evitaría crecida del río Damas,POS,spacheco
10,21862577.0,Sin señalética: Camionetas protagonizan colisión con volcamiento en calle Bilbao de Osorno (VIDEO),POS,spacheco
11,21861200.0,Dos fallecidos dejó incendio de proporciones en Osorno,NEG,spacheco
12,21864185.0,Sectores apartados ya pueden postular al Fondo de Acceso a la Energía,POS,spacheco
13,21860841.0,Formalizan por cuasidelito de homicidio a implicados en muerte de menor en piscina de Puyehue,POS,spacheco
14,21864906.0,Los Lagos: Core acuerda trabajo intersectorial para crear plan de mejoramiento en conectividad,POS,spacheco
15,21866218.0,Graves lesiones de guardia de parque municipal de Osorno tras violenta agresión,NEG,spacheco
16,21861084.0,Sorprendente hallazgo: Confirman presencia de un meteorito en sitio Pilauco de Osorno,POS,spacheco
17,21861351.0,Por un verano más sano: Minsal fiscalizó locales del Mercado Municipal de Osorno,POS,spacheco
18,21868517.0,Anuncian millonario proyecto para nuevas dependencia del Hogar de Cristo en Osorno,POS,spacheco
19,21863990.0,Alcaldesa de Puyehue confía en que reconstrucción del paso fronterizo Cardenal Samoré potenciará a la zona,POS,spacheco
20,21865022.0,Seremi de Obras Públicas compromete inicio de trabajos en puente Trumao 2 a partir de este lunes,POS,spacheco
21,21863290.0,Red Ambiental Ciudadana de Osorno presentó al CORE propuestas en beneficio de cuencas de ríos,POS,spacheco
22,21867919.0,Autoridades llaman a la calma ante Alerta Amarilla declarada en complejo volcánico Puyehue-Cordón Caulle,NEU,spacheco
23,21861453.0,Tragedia en Purranque: Pareja pierde la vida ahogada en el sector Río de La Plata,NEG,spacheco
